                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3175,                 2.8778,                 1.3923,                0.27901,                0.33355,                0.27845,                0.17493,                0.89008,                 25.808,                  1.082,             0.00033238,             0.00033238,             0.00033238
                      2,                 1.3273,                 2.2779,                  1.389,                0.52365,                0.35875,                0.32357,                0.22063,                 0.9111,                 24.657,                 1.0959,             0.00065254,             0.00065254,             0.00065254
                      3,                 1.3479,                 2.1112,                 1.4115,                0.29058,                0.28574,                0.24304,                 0.1525,                0.99666,                 6.9431,                 1.2455,             0.00095949,             0.00095949,             0.00095949
                      4,                 1.3566,                 2.0247,                 1.4215,                 0.3039,                 0.3972,                0.36633,                 0.2191,                0.93524,                 11.256,                 1.1083,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.2908,                 1.8906,                 1.3811,                0.39036,                0.39022,                0.40734,                0.29029,                0.95206,                 8.6662,                 1.1695,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.2722,                 1.8486,                   1.37,                0.60162,                0.39112,                0.38599,                0.25588,                0.86646,                 10.526,                 1.1069,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.2387,                 1.7797,                  1.352,                0.69011,                0.34645,                0.42794,                 0.2776,                0.92193,                 4.4224,                 1.1455,               0.000901,               0.000901,               0.000901
                      8,                  1.222,                 1.7143,                 1.3391,                0.44173,                0.41751,                0.45753,                 0.3283,                0.83833,                 4.3353,                 1.0326,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.1847,                 1.6672,                 1.3189,                0.61838,                0.46898,                0.47258,                0.32808,                0.82647,                 4.3627,                0.98721,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.1706,                 1.6159,                 1.3098,                 0.7387,                0.45251,                 0.5181,                0.37243,                0.81565,                 3.3781,                 1.0557,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.1741,                 1.6028,                 1.3091,                0.60105,                0.41944,                0.45144,                0.32938,                0.81625,                 3.3801,                0.99569,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.1418,                 1.5534,                 1.2884,                0.63621,                0.53169,                  0.517,                0.36987,                0.80028,                 3.4795,                 1.0196,               0.000802,               0.000802,               0.000802
