                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2827,                 3.0815,                 1.3999,                0.31313,                0.27584,                0.25098,                0.13766,                 1.2656,                 34.247,                 1.6184,             0.00033144,             0.00033144,             0.00033144
                      2,                 1.2903,                  2.335,                    1.4,                0.29997,                0.28397,                 0.2734,                0.15902,                 1.0931,                 27.988,                 1.4609,             0.00065161,             0.00065161,             0.00065161
                      3,                 1.2871,                 2.0894,                 1.3969,                 0.2163,                0.31083,                0.24269,                 0.1512,                 1.4541,                 18.248,                 1.8907,             0.00095858,             0.00095858,             0.00095858
                      4,                 1.2987,                 1.9625,                 1.4085,                0.25396,                0.28846,                0.25069,                0.13063,                 1.2222,                   14.7,                  1.518,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.2383,                 1.8376,                 1.3754,                0.59519,                0.36041,                0.39616,                  0.252,                 1.2002,                 4.7977,                 1.6287,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.2155,                 1.7629,                 1.3626,                0.47187,                0.28804,                0.33171,                0.21434,                 1.1583,                 36.636,                 1.4817,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.1701,                 1.6775,                 1.3357,                0.46942,                0.38503,                 0.4033,                0.26082,                 1.1396,                 7.7777,                 1.4566,               0.000901,               0.000901,               0.000901
                      8,                  1.181,                 1.6601,                  1.346,                 0.4951,                0.53336,                 0.4911,                0.34476,                 1.1751,                 6.1606,                 1.5736,              0.0008812,              0.0008812,              0.0008812
                      9,                  1.136,                 1.5844,                 1.3169,                 0.5007,                 0.3861,                 0.4588,                0.31766,                0.88231,                 4.1746,                 1.2341,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.1399,                 1.5763,                 1.3116,                0.47494,                0.44419,                0.43957,                0.30349,                 1.0925,                 19.255,                 1.4099,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.1082,                 1.5182,                 1.2888,                0.42208,                0.46838,                0.48733,                 0.3492,                 1.0621,                 6.1654,                 1.4933,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.0963,                 1.4913,                 1.2859,                0.68783,                0.40807,                  0.458,                0.31734,                0.95697,                 5.5496,                 1.2995,               0.000802,               0.000802,               0.000802
                     13,                 1.0861,                 1.4451,                 1.2773,                0.49553,                0.41879,                0.45428,                0.32581,                0.88686,                 3.3544,                 1.2427,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.0728,                 1.4407,                 1.2785,                0.66208,                0.44303,                0.50342,                0.33994,                0.94066,                 3.4476,                 1.2147,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.0495,                   1.41,                 1.2538,                0.61597,                0.46494,                 0.4923,                0.35528,                0.92217,                 6.0438,                 1.2408,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.0472,                 1.3835,                  1.258,                0.69645,                0.47369,                0.55265,                0.40807,                 1.1197,                 3.9212,                 1.4706,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.0304,                 1.3496,                 1.2451,                0.61537,                0.41259,                0.47955,                0.34838,                0.99809,                 2.1213,                 1.3222,               0.000703,               0.000703,               0.000703
                     18,                 1.0189,                 1.3226,                 1.2356,                0.56913,                0.49386,                0.51887,                0.38731,                 1.1376,                 3.1035,                 1.4069,              0.0006832,              0.0006832,              0.0006832
                     19,                   1.02,                 1.3055,                 1.2378,                0.52214,                  0.556,                 0.5407,                0.40711,                 0.7999,                  3.915,                 1.1523,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.0188,                 1.3053,                  1.232,                 0.5146,                0.50316,                0.54504,                0.41268,                0.73945,                 2.1261,                 1.0813,              0.0006436,              0.0006436,              0.0006436
                     21,                0.99401,                 1.2634,                 1.2197,                0.68068,                0.50587,                 0.5743,                0.42632,                0.88197,                 2.2009,                 1.2173,              0.0006238,              0.0006238,              0.0006238
                     22,                0.99522,                 1.2713,                 1.2168,                0.59213,                0.51226,                0.55968,                0.42025,                0.92723,                 6.2782,                 1.3327,               0.000604,               0.000604,               0.000604
                     23,                 1.0009,                  1.256,                 1.2212,                0.74294,                0.48487,                0.56664,                0.43635,                0.97426,                 4.6931,                 1.3009,              0.0005842,              0.0005842,              0.0005842
                     24,                0.97551,                  1.226,                 1.2117,                0.61955,                0.54232,                0.56111,                0.42746,                0.88802,                 3.6179,                 1.2299,              0.0005644,              0.0005644,              0.0005644
                     25,                0.98158,                 1.2136,                 1.2111,                 0.6768,                0.54861,                0.58951,                 0.4486,                0.82228,                 2.8243,                 1.1528,              0.0005446,              0.0005446,              0.0005446
                     26,                0.95025,                 1.1828,                  1.192,                0.58943,                  0.577,                0.57232,                0.43368,                0.93622,                 1.3997,                 1.3471,              0.0005248,              0.0005248,              0.0005248
                     27,                0.97459,                 1.1966,                 1.2111,                0.66922,                0.61023,                 0.6232,                0.47096,                 0.9492,                  2.264,                  1.255,               0.000505,               0.000505,               0.000505
                     28,                0.96174,                 1.1696,                 1.1941,                0.62591,                0.47851,                0.53328,                0.40423,                0.83513,                 2.7013,                  1.151,              0.0004852,              0.0004852,              0.0004852
                     29,                0.94755,                 1.1542,                 1.1857,                0.65712,                0.54154,                 0.5676,                0.43904,                0.86051,                   4.21,                 1.1763,              0.0004654,              0.0004654,              0.0004654
                     30,                0.91498,                 1.1309,                 1.1715,                0.69784,                0.51371,                0.58521,                0.45708,                0.76637,                 1.4955,                 1.1296,              0.0004456,              0.0004456,              0.0004456
                     31,                0.93824,                  1.127,                 1.1798,                0.58397,                0.60217,                0.58729,                0.46131,                0.88929,                 1.8701,                 1.2095,              0.0004258,              0.0004258,              0.0004258
                     32,                0.93288,                 1.1296,                 1.1793,                0.51779,                0.58507,                0.56073,                0.42424,                0.83489,                 1.4854,                 1.1305,               0.000406,               0.000406,               0.000406
                     33,                0.93221,                 1.1113,                 1.1791,                0.57406,                0.59024,                0.58538,                0.45019,                0.84742,                  2.164,                 1.2205,              0.0003862,              0.0003862,              0.0003862
                     34,                0.91354,                 1.0904,                 1.1646,                0.55106,                0.63049,                0.58429,                0.44951,                0.88299,                 2.4071,                 1.2593,              0.0003664,              0.0003664,              0.0003664
                     35,                0.91061,                 1.0765,                 1.1637,                0.55785,                0.60139,                 0.5853,                0.45145,                 0.8974,                 2.8703,                 1.2378,              0.0003466,              0.0003466,              0.0003466
                     36,                0.91037,                 1.0659,                 1.1614,                0.70662,                0.55171,                0.58215,                0.44521,                0.75692,                  2.216,                 1.0998,              0.0003268,              0.0003268,              0.0003268
                     37,                 0.8891,                 1.0382,                 1.1528,                0.60978,                0.57944,                0.60186,                0.46672,                0.75309,                 1.6286,                  1.094,               0.000307,               0.000307,               0.000307
                     38,                0.88491,                 1.0412,                 1.1471,                0.63018,                0.57345,                0.59592,                0.46516,                0.74014,                 1.4982,                  1.085,              0.0002872,              0.0002872,              0.0002872
                     39,                0.88193,                 1.0241,                 1.1471,                0.64019,                0.55549,                0.60158,                0.47421,                0.91102,                 1.7209,                 1.3129,              0.0002674,              0.0002674,              0.0002674
                     40,                 0.8798,                 1.0298,                 1.1472,                 0.7095,                0.51095,                0.60565,                0.47465,                0.82217,                 2.0144,                 1.1129,              0.0002476,              0.0002476,              0.0002476
                     41,                 0.8436,                 0.9736,                 1.1297,                0.69714,                0.50535,                0.60521,                0.48393,                0.76024,                 2.0325,                 1.0982,              0.0002278,              0.0002278,              0.0002278
                     42,                0.83275,                0.94495,                 1.1203,                0.57133,                0.62618,                0.60457,                0.48739,                0.92918,                 1.9181,                 1.1835,               0.000208,               0.000208,               0.000208
                     43,                0.80984,                0.90596,                 1.1051,                0.73434,                0.54039,                0.61092,                0.48844,                0.78942,                 1.4192,                 1.0978,              0.0001882,              0.0001882,              0.0001882
                     44,                0.80644,                0.89347,                 1.1051,                0.62451,                 0.5489,                0.60272,                0.48911,                 0.6987,                 1.4427,                 1.0521,              0.0001684,              0.0001684,              0.0001684
                     45,                0.79257,                0.86502,                 1.0904,                0.64325,                0.57086,                0.61016,                0.49133,                0.88084,                 1.7964,                 1.1759,              0.0001486,              0.0001486,              0.0001486
                     46,                0.79133,                0.86506,                 1.0926,                0.62067,                 0.6172,                0.61599,                0.49169,                 0.7956,                 1.3438,                  1.103,              0.0001288,              0.0001288,              0.0001288
                     47,                0.77561,                0.83654,                 1.0887,                0.68312,                0.54281,                0.60788,                0.48498,                0.83235,                 1.4529,                 1.1266,               0.000109,               0.000109,               0.000109
                     48,                0.77556,                0.82663,                 1.0759,                0.67147,                0.55558,                0.61658,                0.49038,                 0.7212,                 1.3212,                 1.0523,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.76912,                0.81636,                  1.074,                0.65664,                0.56893,                 0.6171,                0.49213,                0.72245,                 1.3334,                 1.0396,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.75879,                0.80176,                 1.0681,                0.69305,                0.54491,                0.61995,                0.49507,                0.70145,                 1.3175,                 1.0373,               4.96e-05,               4.96e-05,               4.96e-05
