                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3126,                 2.9254,                   1.39,                0.28992,                0.25103,                0.23252,                0.15003,                0.98582,                 103.48,                 1.1736,             0.00033239,             0.00033239,             0.00033239
                      2,                 1.3668,                 2.3827,                 1.4126,                0.22316,                0.26621,                0.20853,                0.12572,                 1.0757,                 42.118,                 1.3327,             0.00065254,             0.00065254,             0.00065254
                      3,                 1.3824,                 2.2333,                 1.4376,                0.22484,                0.27935,                0.21942,                0.13403,                0.96791,                 20.027,                  1.178,             0.00095949,             0.00095949,             0.00095949
