                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6365,                 3.6914,                 1.8976,                0.61643,                0.87215,                 0.8884,                0.61434,                 1.3922,                  1.271,                 1.2467,                    0.1,                      0,                      0
                      2,                 1.9333,                 2.8437,                 1.9722,                0.58751,                0.89477,                0.88798,                0.61511,                 1.4103,                  1.291,                 1.2494,                0.09901,              9.934e-06,              9.934e-06
                      3,                 1.7108,                 2.6189,                 1.7851,                0.60874,                 0.8741,                0.88827,                0.60912,                 1.4185,                 1.3285,                 1.2531,                0.09802,             1.9736e-05,             1.9736e-05
                      4,                 2.3158,                 3.1749,                 2.4788,                0.55915,                0.84507,                0.87471,                0.60998,                 1.4409,                 1.3407,                 1.2567,               0.097029,             2.9406e-05,             2.9406e-05
                      5,                 1.9451,                 3.0208,                 2.1357,                0.86954,                0.28333,                0.52046,                0.39198,                 1.9327,                 2.6504,                 1.6633,               0.096039,             3.8944e-05,             3.8944e-05
                      6,                0.77684,                  1.768,                 1.1586,                0.17011,                   0.25,                0.21088,                0.10176,                 2.4404,                 3.9456,                 2.2793,               0.095048,              4.835e-05,              4.835e-05
                      7,                 1.5531,                 2.2054,                 1.7936,                0.00704,                   0.05,                0.02708,                0.00923,                 2.9682,                 4.7577,                 2.6296,               0.094058,             5.7624e-05,             5.7624e-05
                      8,                 1.1215,                 1.6262,                 1.3102,                0.01667,                   0.05,                0.01631,                0.00508,                 3.1681,                  5.427,                 3.0296,               0.093067,             6.6766e-05,             6.6766e-05
                      9,                 1.3833,                  1.167,                 1.4765,                0.01282,                0.01667,                0.00979,                0.00098,                  2.868,                 7.1478,                 2.8182,               0.092076,             7.5776e-05,             7.5776e-05
                     10,                 1.2555,                  1.274,                 1.5845,                0.01282,                0.01667,                0.00979,                0.00098,                  2.808,                  10.17,                 2.9239,               0.091085,             8.4654e-05,             8.4654e-05
                     11,                0.95963,                0.79484,                 1.2608,                0.01282,                0.01667,                0.00979,                0.00098,                 2.7429,                 12.999,                 2.9952,               0.090093,               9.34e-05,               9.34e-05
                     12,                 1.3596,                 2.3371,                 1.9347,                0.01282,                0.01667,                0.00979,                0.00098,                 2.8747,                 15.619,                  3.144,               0.089102,             0.00010201,             0.00010201
                     13,                 1.4087,                 1.1245,                 1.5162,                0.01282,                0.01667,                0.00979,                0.00098,                 2.9565,                 16.742,                 3.2664,                0.08811,              0.0001105,              0.0001105
                     14,                 1.3357,                 1.1883,                 1.4212,                0.01282,                0.01667,                0.00979,                0.00098,                 3.0772,                 17.851,                 3.3982,               0.087119,             0.00011885,             0.00011885
                     15,                 1.0588,                 1.2748,                   1.42,                0.01282,                0.01667,                0.00979,                0.00098,                 2.9828,                 17.206,                 3.1778,               0.086127,             0.00012706,             0.00012706
                     16,                 1.1757,                 1.3111,                 1.4068,                0.01282,                0.01667,                0.00979,                0.00098,                 2.9337,                 16.192,                  3.168,               0.085135,             0.00013515,             0.00013515
                     17,                 1.2916,                 1.2971,                  1.562,                0.01282,                0.01667,                0.00979,                0.00098,                 2.9361,                 13.845,                 3.2198,               0.084143,              0.0001431,              0.0001431
                     18,                 1.4067,                 1.7669,                 1.6847,                0.01282,                0.01667,                0.00979,                0.00098,                 2.9361,                 13.845,                 3.2198,               0.083151,             0.00015093,             0.00015093
