                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3101,                 3.1158,                 1.4145,                0.24407,                0.37375,                0.30901,                0.17621,                 1.3054,                 65.563,                 1.5126,             0.00033144,             0.00033144,             0.00033144
                      2,                 1.2913,                 2.3236,                 1.3888,                0.32543,                0.22339,                0.22353,                0.12881,                 1.4969,                 10.972,                 1.7944,             0.00065161,             0.00065161,             0.00065161
                      3,                 1.2793,                 2.0808,                 1.3922,                0.24828,                0.21148,                0.19147,                0.10888,                 1.2458,                 14.173,                 1.5776,             0.00095858,             0.00095858,             0.00095858
                      4,                 1.3039,                 1.9776,                 1.4087,                0.53331,                0.30808,                  0.333,                  0.197,                 1.2577,                 20.122,                 1.6018,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.2514,                  1.854,                 1.3808,                0.58017,                0.27964,                  0.324,                0.20285,                 1.0204,                     27,                 1.3795,              0.0009406,              0.0009406,              0.0009406
                      6,                  1.222,                 1.7887,                 1.3641,                0.41762,                0.41188,                0.41398,                0.27246,                 1.2032,                 33.812,                  1.444,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.1784,                 1.6864,                 1.3347,                 0.4447,                0.36897,                0.42673,                0.28915,                 1.2683,                 5.4153,                 1.5433,               0.000901,               0.000901,               0.000901
                      8,                 1.1776,                  1.652,                 1.3367,                0.66338,                0.42162,                0.46801,                0.32844,                 1.0772,                 6.9461,                 1.3745,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.1384,                 1.5899,                 1.3106,                0.52684,                0.43476,                0.47178,                0.32507,                 1.0829,                 9.3207,                 1.4075,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.1449,                 1.5851,                  1.305,                 0.6806,                0.46686,                 0.4573,                0.32993,                0.96499,                 10.268,                 1.3274,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.1103,                 1.5223,                 1.2868,                0.56411,                 0.3568,                0.43273,                 0.2568,                  1.212,                 3.4681,                 1.5072,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.0924,                 1.4904,                 1.2834,                0.45847,                0.36355,                0.42206,                0.29222,                 1.2634,                 4.1948,                 1.7051,               0.000802,               0.000802,               0.000802
                     13,                 1.0877,                 1.4328,                 1.2724,                0.58708,                0.50162,                0.50301,                0.34565,                0.85562,                 4.4259,                 1.1786,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.0761,                 1.4449,                 1.2778,                0.75056,                0.40759,                0.51294,                0.36522,                0.93151,                 5.1645,                 1.2473,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.0543,                 1.4156,                 1.2571,                0.41712,                0.55094,                0.49246,                0.34888,                0.82296,                 5.9581,                 1.1584,              0.0007426,              0.0007426,              0.0007426
                     16,                  1.041,                 1.3784,                 1.2527,                0.71221,                0.43906,                0.51572,                 0.3714,                 1.0563,                 12.287,                 1.3837,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.0216,                 1.3424,                 1.2375,                0.50673,                0.52094,                0.50533,                0.36664,                 1.1197,                  2.384,                 1.4192,               0.000703,               0.000703,               0.000703
                     18,                 1.0241,                 1.3219,                  1.238,                0.56848,                0.42815,                0.54132,                0.39922,                0.94419,                 2.6699,                 1.2505,              0.0006832,              0.0006832,              0.0006832
